team_id
ALS
ANA
ARI
ATH
ATL
BAL
BOS
CAL
CHA
CHN
CIN
CLE
COL
DET
FLO
HOU
KCA
LAN
MIA
MIL
MIN
MON
NLS
NYA
NYN
OAK
PHI
PIT
SDN
SEA
SFN
SLN
TBA
TEX
TOR
WAS
